1734457790.558685 server started (10575): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1734457790.558731 on Linux 6.8.0-49-generic #49-Ubuntu SMP PREEMPT_DYNAMIC Mon Nov  4 02:06:24 UTC 2024
1734457790.558748 using libevent 2.1.12-stable poll
1734457790.558756 using ncurses 6.4 20240113
1734457790.558904 input_key_build: 0x10e003 (PasteStart) is \033[200~
1734457790.558918 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1734457790.558926 input_key_build: 0x10e195 (F1) is \033OP
1734457790.558933 input_key_build: 0x10e196 (F2) is \033OQ
1734457790.558940 input_key_build: 0x10e197 (F3) is \033OR
1734457790.558947 input_key_build: 0x10e198 (F4) is \033OS
1734457790.558954 input_key_build: 0x10e199 (F5) is \033[15~
1734457790.558960 input_key_build: 0x10e19a (F6) is \033[17~
1734457790.558967 input_key_build: 0x10e19b (F7) is \033[18~
1734457790.558974 input_key_build: 0x10e19c (F8) is \033[19~
1734457790.558981 input_key_build: 0x10e19d (F9) is \033[20~
1734457790.558987 input_key_build: 0x10e19e (F10) is \033[21~
1734457790.558994 input_key_build: 0x10e19f (F11) is \033[23~
1734457790.559001 input_key_build: 0x10e1a0 (F12) is \033[24~
1734457790.559008 input_key_build: 0x10e1a1 (IC) is \033[2~
1734457790.559014 input_key_build: 0x10e1a2 (DC) is \033[3~
1734457790.559021 input_key_build: 0x10e1a3 (Home) is \033[1~
1734457790.559028 input_key_build: 0x10e1a4 (End) is \033[4~
1734457790.559035 input_key_build: 0x10e1a5 (NPage) is \033[6~
1734457790.559042 input_key_build: 0x10e1a6 (PPage) is \033[5~
1734457790.559048 input_key_build: 0x10e1a7 (BTab) is \033[Z
1734457790.559055 input_key_build: 0x10e1a8 (Up) is \033[A
1734457790.559062 input_key_build: 0x10e1a9 (Down) is \033[B
1734457790.559069 input_key_build: 0x10e1aa (Left) is \033[D
1734457790.559075 input_key_build: 0x10e1ab (Right) is \033[C
1734457790.559090 input_key_build: 0x10e1ac (KP/) is /
1734457790.559097 input_key_build: 0x10e1ad (KP*) is *
1734457790.559104 input_key_build: 0x10e1ae (KP-) is -
1734457790.559110 input_key_build: 0x10e1af (KP7) is 7
1734457790.559117 input_key_build: 0x10e1b0 (KP8) is 8
1734457790.559124 input_key_build: 0x10e1b1 (KP9) is 9
1734457790.559130 input_key_build: 0x10e1b2 (KP+) is +
1734457790.559138 input_key_build: 0x10e1b3 (KP4) is 4
1734457790.559145 input_key_build: 0x10e1b4 (KP5) is 5
1734457790.559151 input_key_build: 0x10e1b5 (KP6) is 6
1734457790.559158 input_key_build: 0x10e1b6 (KP1) is 1
1734457790.559164 input_key_build: 0x10e1b7 (KP2) is 2
1734457790.559171 input_key_build: 0x10e1b8 (KP3) is 3
1734457790.559178 input_key_build: 0x10e1b9 (KPEnter) is \n
